src,dest
/wiki/Green_tea,/wiki/Barley_tea
/wiki/Green_tea,/wiki/Lipovitan
/wiki/Green_tea,/wiki/Oronamin_C
/wiki/Green_tea,/wiki/Pocari_Sweat
/wiki/Green_tea,/wiki/Ramune
/wiki/Green_tea,/wiki/Sake
/wiki/Green_tea,/wiki/Amazake
/wiki/Green_tea,/wiki/Nigori
/wiki/Green_tea,/wiki/Toso
/wiki/Green_tea,/wiki/Sh%C5%8Dch%C5%AB
/wiki/Green_tea,/wiki/Awamori
/wiki/Green_tea,/wiki/Habushu
/wiki/Green_tea,/wiki/Green_tea#Japan
/wiki/Green_tea,/wiki/Kabuse_tea
/wiki/Green_tea,/wiki/Yakult
/wiki/Green_tea,/wiki/Amanatt%C5%8D
/wiki/Green_tea,/wiki/Botan_Rice_Candy
/wiki/Green_tea,/wiki/Daifuku
/wiki/Green_tea,/wiki/Dango
/wiki/Green_tea,/wiki/Chichi_dango
/wiki/Green_tea,/wiki/Kibi_dango_(millet_dumpling)
/wiki/Green_tea,/wiki/Dorayaki
/wiki/Green_tea,/wiki/Karukan
/wiki/Green_tea,/wiki/Konpeit%C5%8D
/wiki/Green_tea,/wiki/Kuzumochi
/wiki/Green_tea,/wiki/Manj%C5%AB
/wiki/Green_tea,/wiki/Mochi
/wiki/Green_tea,/wiki/Agemochi
/wiki/Green_tea,/wiki/Goheimochi
/wiki/Green_tea,/wiki/Uir%C5%8D
/wiki/Green_tea,/wiki/Senbei
/wiki/Green_tea,/wiki/Arare_(food)
/wiki/Green_tea,/wiki/Shiruko
/wiki/Green_tea,/wiki/Taiyaki
/wiki/Green_tea,/wiki/Wagashi
/wiki/Green_tea,/wiki/Warabimochi
/wiki/Green_tea,/wiki/Y%C5%8Dkan
/wiki/Green_tea,/wiki/Red_bean_paste
/wiki/Green_tea,/wiki/Green_laver
/wiki/Green_tea,/wiki/Bamboo_shoot
/wiki/Green_tea,/wiki/Beni_sh%C5%8Dga
/wiki/Green_tea,/wiki/Arctium
/wiki/Green_tea,/wiki/Daikon
/wiki/Green_tea,/wiki/Sakurajima_radish
/wiki/Green_tea,/wiki/Dashi
